Summary,Description,Acceptance Criteria,Story Points,Epic,Issue Type,Priority,Assignee
HU-01 - Ver lista de productos,"Mostrar la lista de productos en la página de 'Lista' con nombre y precio.","La página `Lista.html` muestra Nombre y Precio para cada producto; cuando existen productos, la lista no está vacía.",2,Gestion de Productos,Story,Medium,
HU-02 - Crear producto,"Formulario para crear un producto con nombre, descripción y precio.","Al enviar el formulario en `Crear.html` el producto aparece en `Lista.html` con los datos ingresados.",3,Gestion de Productos,Story,Medium,
HU-03 - Editar producto,"Editar los datos de un producto existente desde `Editar.html`.","Cambios realizados en `Editar.html` se reflejan en `Lista.html` y persisten en el estado de la aplicación.",3,Gestion de Productos,Story,Medium,
HU-04 - Eliminar producto,"Eliminar un producto desde la vista de lista con confirmación.","El producto seleccionado se elimina de `Lista.html` y el usuario ve una confirmación; ya no aparece en la lista.",2,Gestion de Productos,Story,Medium,
HU-05 - Añadir al carrito,"Añadir un producto al carrito desde la lista.","Botón 'Añadir al carrito' agrega el producto a `Carrito.html`; el producto aparece en el carrito con cantidad 1.",2,Carrito de Compras,Story,Medium,
HU-06 - Ver carrito y totales,"Ver el contenido del carrito con totales por producto y total general.","`Carrito.html` muestra nombre, cantidad, subtotal por producto y total general correcto.",2,Carrito de Compras,Story,Medium,
HU-07 - Login básico,"Flujo de inicio de sesión básico para acceder a opciones restringidas.","Login acepta credenciales de prueba y muestra la vista autenticada; login inválido muestra mensaje de error.",2,Calidad y Pruebas,Story,Medium,
HU-08 - Pruebas automatizadas,"Implementar pruebas automatizadas para flujos críticos con pytest.","Suite `pytest` contiene tests para crear, editar, eliminar, añadir al carrito y login; todos pasan en entorno local.",3,Calidad y Pruebas,Story,High,
HU-09 - Reportes y capturas en fallos,"Generar capturas y logs cuando los tests fallan.","Al fallar un test se guarda screenshot/log en `tests/reports/screenshots` y el pipeline reporta la ruta.",1,Calidad y Pruebas,Story,Medium,
HU-10 - Responsive básico,"Asegurar que las páginas adaptan el layout en viewport móvil.","Layout se adapta a un ancho de 375px sin que elementos críticos queden inaccesibles; ver comprobación manual.",2,Calidad y Pruebas,Story,Low
